"Date","EventId","Source","Level","Summary","Message"
"9/19/2025 7:44:41 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 230 to 231.","The system session has transitioned from 230 to 231.

Reason PolicyChange 

BootId: 22"
"9/19/2025 7:44:41 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Lid."
"9/19/2025 7:44:48 PM","105","Microsoft-Windows-Kernel-Power","Information","Power source change.","Power source change."
"9/19/2025 7:44:48 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 231 to 232.","The system session has transitioned from 231 to 232.

Reason PolicyChange 

BootId: 22"
"9/19/2025 7:44:48 PM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: AC/DC Display Burst Suppressed."
"9/19/2025 7:44:48 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 232 to 233.","The system session has transitioned from 232 to 233.

Reason InputMouse 

BootId: 22"
"9/19/2025 7:44:48 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: AC/DC Display Burst Suppressed."
"9/19/2025 7:44:58 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 233 to 234.","The system session has transitioned from 233 to 234.

Reason InputMouse 

BootId: 22"
"9/19/2025 7:48:13 PM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: Austerity Battery Drain Budget Exceeded."
"9/19/2025 7:48:13 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 234 to 235.","The system session has transitioned from 234 to 235.

Reason 55 

BootId: 22"
"9/19/2025 7:48:13 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: Austerity Battery Drain Budget Exceeded."
"9/19/2025 7:48:24 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 235 to 236.","The system session has transitioned from 235 to 236.

Reason 55 

BootId: 22"
"9/19/2025 8:23:58 PM","105","Microsoft-Windows-Kernel-Power","Information","Power source change.","Power source change."
"9/19/2025 8:23:58 PM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: AC/DC Display Burst Suppressed."
"9/19/2025 8:23:58 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 236 to 237.","The system session has transitioned from 236 to 237.

Reason InputMouse 

BootId: 22"
"9/19/2025 8:23:58 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: AC/DC Display Burst Suppressed."
"9/19/2025 8:24:08 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 237 to 238.","The system session has transitioned from 237 to 238.

Reason InputMouse 

BootId: 22"
"9/19/2025 9:20:37 PM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777224."
"9/19/2025 9:20:37 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 238 to 239.","The system session has transitioned from 238 to 239.

Reason 16777224 

BootId: 22"
"9/19/2025 9:20:37 PM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777224."
"9/19/2025 10:09:19 PM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 239 to 240.","The system session has transitioned from 239 to 240.

Reason InputMouse 

BootId: 22"
"9/20/2025 12:39:00 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/20/2025 12:39:00 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 240 to 241.","The system session has transitioned from 240 to 241.

Reason 16777220 

BootId: 22"
"9/20/2025 12:39:00 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/20/2025 1:39:07 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 241 to 242.","The system session has transitioned from 241 to 242.

Reason InputMouse 

BootId: 22"
"9/20/2025 1:39:08 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/20/2025 1:39:08 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 242 to 243.","The system session has transitioned from 242 to 243.

Reason 16777220 

BootId: 22"
"9/20/2025 1:39:08 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/20/2025 1:44:10 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 243 to 244.","The system session has transitioned from 243 to 244.

Reason InputMouse 

BootId: 22"
"9/20/2025 1:44:10 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/20/2025 1:44:10 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 244 to 245.","The system session has transitioned from 244 to 245.

Reason 16777220 

BootId: 22"
"9/20/2025 1:44:10 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/20/2025 2:55:59 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 245 to 246.","The system session has transitioned from 245 to 246.

Reason InputMouse 

BootId: 22"
"9/20/2025 2:55:59 AM","507","Microsoft-Windows-Kernel-Power","Information","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/20/2025 2:55:59 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 246 to 247.","The system session has transitioned from 246 to 247.

Reason 16777220 

BootId: 22"
"9/20/2025 2:55:59 AM","506","Microsoft-Windows-Kernel-Power","Information","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/20/2025 3:01:01 AM","566","Microsoft-Windows-Kernel-Power","Information","The system session has transitioned from 247 to 248.","The system session has transitioned from 247 to 248.

Reason InputMouse 

BootId: 22"
