"Date","EventId","Provider","Hint","Summary","Message"
"9/25/2025 12:17:24 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777224."
"9/25/2025 12:17:24 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 520 to 521.","The system session has transitioned from 520 to 521.

Reason 16777224 

BootId: 22"
"9/25/2025 12:17:24 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777224."
"9/25/2025 12:25:02 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 521 to 522.","The system session has transitioned from 521 to 522.

Reason InputMouse 

BootId: 22"
"9/25/2025 12:25:02 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/25/2025 12:25:02 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 522 to 523.","The system session has transitioned from 522 to 523.

Reason 16777220 

BootId: 22"
"9/25/2025 12:25:02 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/25/2025 1:28:17 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 523 to 524.","The system session has transitioned from 523 to 524.

Reason InputMouse 

BootId: 22"
"9/25/2025 2:28:49 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/25/2025 2:28:49 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 524 to 525.","The system session has transitioned from 524 to 525.

Reason 16777220 

BootId: 22"
"9/25/2025 2:28:49 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/25/2025 3:17:29 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 525 to 526.","The system session has transitioned from 525 to 526.

Reason InputMouse 

BootId: 22"
"9/25/2025 3:37:09 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777224."
"9/25/2025 3:37:09 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 526 to 527.","The system session has transitioned from 526 to 527.

Reason 16777224 

BootId: 22"
"9/25/2025 3:37:09 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777224."
"9/25/2025 3:52:43 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 527 to 528.","The system session has transitioned from 527 to 528.

Reason InputMouse 

BootId: 22"
"9/25/2025 3:52:43 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/25/2025 3:52:43 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 528 to 529.","The system session has transitioned from 528 to 529.

Reason 16777220 

BootId: 22"
"9/25/2025 3:52:43 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"9/25/2025 3:55:15 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 529 to 530.","The system session has transitioned from 529 to 530.

Reason InputMouse 

BootId: 22"
"9/25/2025 3:55:15 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"9/25/2025 3:55:15 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 530 to 531.","The system session has transitioned from 530 to 531.

Reason 16777220 

BootId: 22"
"9/25/2025 3:55:15 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
