"Date","EventId","Provider","Hint","Summary","Message"
"10/2/2025 12:39:16 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777224."
"10/2/2025 12:39:16 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 86 to 87.","The system session has transitioned from 86 to 87.

Reason 16777224 

BootId: 23"
"10/2/2025 12:39:16 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777224."
"10/2/2025 12:39:16 AM","24","Microsoft-Windows-Kernel-General","","The time zone information was refreshed with exit reason 0. Current time zone bias is 240.","The time zone information was refreshed with exit reason 0. Current time zone bias is 240."
"10/2/2025 12:39:16 AM","1","Microsoft-Windows-Kernel-General","","The system time has changed to ‎2025‎-‎10‎-‎02T04:39:16.217126700Z from ‎2025‎-‎10‎-‎02T04:39:16.215774700Z.","The system time has changed to ‎2025‎-‎10‎-‎02T04:39:16.217126700Z from ‎2025‎-‎10‎-‎02T04:39:16.215774700Z.
Time Delta: 1 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 1996).

RTC time: ‎2025‎-‎10‎-‎02T00:39:16.217126700Z
Current time zone bias: 240
RTC time is in UTC: false
System time was based on RTC time: false"
"10/2/2025 1:54:33 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 87 to 88.","The system session has transitioned from 87 to 88.

Reason PolicyChange 

BootId: 23"
"10/2/2025 1:54:33 AM","24","Microsoft-Windows-Kernel-General","","The time zone information was refreshed with exit reason 0. Current time zone bias is 240.","The time zone information was refreshed with exit reason 0. Current time zone bias is 240."
"10/2/2025 1:54:33 AM","1","Microsoft-Windows-Kernel-General","","The system time has changed to ‎2025‎-‎10‎-‎02T05:54:33.849847800Z from ‎2025‎-‎10‎-‎02T05:54:33.849795800Z.","The system time has changed to ‎2025‎-‎10‎-‎02T05:54:33.849847800Z from ‎2025‎-‎10‎-‎02T05:54:33.849795800Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 1996).

RTC time: ‎2025‎-‎10‎-‎02T01:54:33.849847800Z
Current time zone bias: 240
RTC time is in UTC: false
System time was based on RTC time: false"
"10/2/2025 1:54:34 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"10/2/2025 1:54:34 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 88 to 89.","The system session has transitioned from 88 to 89.

Reason 16777220 

BootId: 23"
"10/2/2025 1:54:34 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"10/2/2025 1:58:21 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 89 to 90.","The system session has transitioned from 89 to 90.

Reason PolicyChange 

BootId: 23"
"10/2/2025 1:58:21 AM","24","Microsoft-Windows-Kernel-General","","The time zone information was refreshed with exit reason 0. Current time zone bias is 240.","The time zone information was refreshed with exit reason 0. Current time zone bias is 240."
"10/2/2025 1:58:21 AM","1","Microsoft-Windows-Kernel-General","","The system time has changed to ‎2025‎-‎10‎-‎02T05:58:21.915594900Z from ‎2025‎-‎10‎-‎02T05:58:21.916033900Z.","The system time has changed to ‎2025‎-‎10‎-‎02T05:58:21.915594900Z from ‎2025‎-‎10‎-‎02T05:58:21.916033900Z.
Time Delta: 0 ms

Change Reason: An application or system component changed the time.
Process: '\Device\HarddiskVolume3\Windows\System32\svchost.exe' (PID 1996).

RTC time: ‎2025‎-‎10‎-‎02T01:58:21.915594900Z
Current time zone bias: 240
RTC time is in UTC: false
System time was based on RTC time: false"
"10/2/2025 1:58:22 AM","507","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is exiting Modern Standby ","The system is exiting Modern Standby 

Reason: 16777220."
"10/2/2025 1:58:22 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 90 to 91.","The system session has transitioned from 90 to 91.

Reason 16777220 

BootId: 23"
"10/2/2025 1:58:22 AM","506","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system is entering Modern Standby ","The system is entering Modern Standby 

Reason: 16777220."
"10/2/2025 3:04:09 AM","566","Microsoft-Windows-Kernel-Power","Modern Standby transition (lid closed likely)","The system session has transitioned from 91 to 92.","The system session has transitioned from 91 to 92.

Reason PolicyChange 

BootId: 23"
"10/2/2025 3:04:09 AM","24","Microsoft-Windows-Kernel-General","","The time zone information was refreshed with exit reason 0. Current time zone bias is 240.","The time zone information was refreshed with exit reason 0. Current time zone bias is 240."
